,Unnamed: 0,fare_amount,passenger_count,trip_distance_km,pickup_hour,pickup_day_of_week,is_night
61393,24024218,6.1,1,1.1640189405397428,9,1,0
80160,44754949,10.0,6,2.0580120232514885,7,0,0
176516,13471637,11.3,1,4.8699939775100685,13,0,0
74505,29757379,8.0,1,1.306786581952059,16,0,0
40740,36138442,12.0,3,2.738132243499091,9,6,0
106707,34144795,7.3,1,1.7972221627717775,8,5,0
191382,20482163,7.0,1,1.4013749712247403,18,5,0
67885,15470986,8.1,2,0.46338079735582893,19,1,0
198591,3236917,4.9,5,0.9718398234237793,12,6,0
146398,2186677,6.1,1,1.546044298827398,12,0,0
85176,23551762,8.5,2,1.600652606551946,8,4,0
96884,37634837,5.7,5,1.0235201051454075,0,5,1
105220,45475911,10.5,1,2.056851625460701,12,0,0
192148,55310150,13.0,5,2.838818789524263,13,4,0
102433,6599733,6.5,2,1.9371260697732369,17,5,0
48508,22674652,8.1,4,3.353519096217892,18,6,0
105336,39701367,16.1,1,5.199372534334866,7,0,0
161400,9511839,11.3,1,3.520501182935266,15,5,0
28638,41787720,16.9,1,5.083355409547656,14,2,0
91204,3951955,5.7,1,1.4357679393557448,10,3,0
71443,23773056,8.5,1,3.173115022029965,19,5,0
33744,36548668,17.0,1,1.847622888416314,18,2,0
13579,43494410,9.5,1,3.3277351488093747,5,4,1
21728,34998759,11.3,1,4.149956346634493,15,6,0
93715,54798329,44.3,1,9.752666211815805,9,1,0
35358,3588838,10.9,3,3.7321323157993036,11,1,0
17151,14419995,14.5,1,1.7206684370358007,10,2,0
139282,36378205,15.5,1,4.94077310595904,4,3,1
79787,51918160,10.5,1,3.1997588437254305,8,2,0
188124,7867563,4.1,1,1.2258272034110351,0,5,1
6649,17610096,17.5,1,4.912714902633465,20,3,0
7299,31621145,13.0,2,3.420151134112425,19,1,0
6,48725865,24.5,5,11.731014883538434,7,6,0
85085,25351419,7.7,1,3.385530027062533,22,4,1
156971,9669676,10.5,1,2.849133755572157,15,4,0
148739,39616845,5.3,1,1.4793195347962635,23,3,1
128685,22041855,7.3,1,2.4744138109724125,13,2,0
459,2819704,6.9,5,2.0193937150945636,23,5,1
71859,20869533,8.5,1,3.347259514955383,19,0,0
198918,18547429,5.3,1,0.8691989947377542,21,2,0
105790,23398638,11.0,1,2.854716753267591,10,2,0
132839,52422784,10.1,1,2.4687563878908394,8,1,0
182770,48694417,12.5,6,3.289218764195021,21,3,0
97833,31518663,14.9,5,4.858078376040167,17,6,0
70271,19108619,7.3,1,1.5040588402767692,3,5,1
9461,27314102,8.1,1,1.6945222777040707,18,1,0
19687,241397,46.83,2,9.695320166824072,18,0,0
5047,35068974,10.5,1,2.3209791373459208,8,0,0
143404,35435795,10.3,2,2.359193864861401,18,0,0
115022,47812307,13.7,1,3.6702465453253628,18,6,0
28590,861555,8.0,1,0.6953560052078065,21,6,0
97731,39967494,8.0,1,1.1193160911067703,9,1,0
144589,52150050,5.7,1,2.010560540674452,19,5,0
85877,54906475,5.7,1,1.9875319150250261,10,4,0
187522,54496825,7.3,1,1.7095407555132491,9,2,0
198226,30048202,9.3,1,2.514304076971839,17,4,0
73531,19064748,13.5,5,2.04509699368807,14,2,0
48348,29409947,8.5,5,1.428413972585511,18,2,0
28741,4266842,5.7,1,1.5544175060394425,18,4,0
92842,13334018,6.5,1,2.557265276741251,16,0,0
78070,40098872,14.0,1,5.04902965457652,6,2,0
93917,51919597,7.7,3,1.5494083763960358,8,5,0
72811,28486064,16.9,1,5.925616855049875,23,4,1
162316,42671900,4.9,1,1.0753624958989572,21,2,0
198616,44527976,19.5,2,4.3250709953668975,14,3,0
167130,46530020,13.3,1,4.774510718203569,17,3,0
144546,31523904,49.15,1,20.891109034426712,10,6,0
102412,30625495,6.1,1,2.106722777443217,7,1,0
120099,23598911,10.9,1,3.954690722451021,15,5,0
146807,37494157,18.9,1,8.950469006107637,7,6,0
34441,19220154,8.5,2,2.002073702067382,15,4,0
191138,5687087,6.5,1,2.429197678942548,2,6,1
6693,5399160,5.5,1,1.2622496805721635,12,1,0
83108,28970722,4.5,1,0.7024466289694423,7,2,0
180634,52480037,4.9,1,0.867611424741684,9,1,0
194773,32357658,4.1,1,0.7150439400893818,7,1,0
28340,25492410,16.0,1,2.6843995324620993,18,3,0
13389,31516054,38.54,2,12.014775184871617,13,6,0
111808,11840984,20.1,2,10.687805772796056,23,4,1
145212,2830801,9.3,2,2.059077017815603,18,6,0
158844,27542766,5.3,1,0.8393261790407358,11,1,0
100139,26857556,4.0,1,0.5841285164514306,15,6,0
62274,37732089,8.1,1,3.2257952230275158,18,1,0
26516,44767486,13.0,1,4.325827764666669,21,2,0
122139,31550227,5.3,1,1.3583008421856702,21,2,0
129802,38507879,3.7,1,0.7426191120484069,13,5,0
103206,43771681,15.7,3,4.21553506454461,11,3,0
71934,48959500,5.0,1,0.8488240277100164,18,1,0
199819,37982250,11.0,1,2.9412248684320756,21,2,0
14269,5011709,9.0,1,1.1376476672293563,10,2,0
76995,540540,5.7,1,0.9839836852519157,0,6,1
23820,5502027,6.5,2,1.5277173077884088,2,6,1
4614,7265821,49.57,1,15.35968654137018,0,2,1
3640,47437338,57.54,2,1.7290551760484136,14,6,0
95049,6435846,18.5,1,7.692106394741643,4,4,1
25499,20393117,7.0,1,0.593581210346684,8,2,0
60211,17315663,10.9,1,2.215585853594664,9,2,0
46947,4721809,32.9,1,12.624246289018474,14,0,0
174814,26173588,5.7,6,1.5318342030973688,15,6,0
131071,37220306,12.5,1,2.7886172052684532,3,0,1
60812,50094138,7.0,1,1.9883606653503159,12,1,0
23493,10160409,12.9,1,3.675526670751434,19,1,0
131532,35574396,11.0,2,2.0733302746551137,23,5,1
65311,50740765,29.7,2,4.3689200998310325,0,6,1
27653,36909560,7.3,1,2.34072325326321,17,3,0
146942,45575730,6.5,1,1.1579076597244993,21,2,0
29689,10888231,14.9,1,4.782397823472683,1,5,1
18683,725005,7.7,1,2.4510801169474044,17,1,0
110769,39885393,14.9,1,5.177711467721231,17,1,0
197558,44812230,5.5,1,0.7595933159266437,19,6,0
25274,41241980,10.5,1,0.9746337946002472,13,5,0
44765,43948633,5.3,1,1.1715719853396596,0,5,1
1674,3515571,9.0,4,1.8833216643206416,9,5,0
151423,34495433,8.0,1,1.1228657213023905,20,1,0
128560,14737468,7.7,1,1.7117903171483781,14,4,0
149221,43109240,16.9,1,5.102403961258112,15,4,0
191119,16356661,4.5,1,0.8455173628018549,21,2,0
135958,11721089,3.7,1,0.4684034832592917,9,4,0
146495,49216441,14.0,1,2.1111107593383487,20,1,0
66464,33504033,7.5,4,1.2675355664667032,13,6,0
167865,38714148,7.3,1,2.2743625393345255,18,4,0
101967,13930191,8.5,1,1.9012148233623571,18,6,0
98461,15066240,6.5,2,1.4272067030771085,21,4,0
175895,53967662,45.0,5,1.6947144115016748,10,5,0
18403,12950410,7.5,1,1.5639847095717496,8,0,0
90590,32867828,18.1,1,6.384019087674258,18,1,0
131799,29342402,12.5,1,4.601517447327653,8,2,0
43447,14046017,7.7,1,0.6151264571040264,14,2,0
181107,2724597,4.9,1,1.0241571281068824,20,2,0
87748,1381782,10.5,1,3.336935027013805,8,4,0
44328,33116243,13.0,1,2.087951920716173,9,1,0
68658,34930714,7.3,1,3.3655026964387593,16,1,0
17276,44221328,24.5,5,8.290521014432478,1,5,1
4267,52498490,11.3,1,2.6824909494992073,8,4,0
86447,48546739,7.0,2,1.6105772089900503,0,2,1
184837,30215186,10.0,1,2.1999547671907504,14,5,0
199220,34412156,6.5,1,2.0017329999007223,16,4,0
70373,54027478,9.0,1,2.195433007667212,15,5,0
25330,24514559,12.0,1,2.322754949328514,22,2,1
69296,32275629,14.9,1,6.346913377116509,21,3,0
31273,31012390,15.0,1,2.108217650177058,0,6,1
7709,16131078,30.65,2,9.64822405910648,11,6,0
79612,51288412,9.3,1,3.2166971811205607,18,3,0
163746,4606972,5.3,1,0.9758114067178838,14,2,0
153947,21687986,12.5,1,4.737331010429937,20,2,0
53942,50064600,13.7,1,4.8583384158911205,20,2,0
66436,37483769,10.0,1,1.1367836476068949,16,3,0
60427,12594330,12.5,3,3.8024458650822632,1,5,1
55184,51358286,57.54,1,19.51694125918081,20,0,0
109930,14270200,9.3,1,0.12915693713161644,8,1,0
130994,28677417,11.5,2,2.812606785560492,12,2,0
58465,43463,6.5,1,1.815467244601946,8,0,0
103830,16301070,26.0,1,6.372178279223481,12,1,0
134672,43422231,3.5,2,0.5959456130881102,3,3,1
168522,38256111,5.0,2,0.418091805579071,1,6,1
170108,11535370,11.0,1,4.1918116808628225,2,5,1
51118,19100848,6.5,1,1.7608017097250073,8,4,0
162058,48745926,14.0,1,3.78006939067963,15,4,0
56046,28683585,21.5,2,1.92767806811042,12,2,0
150472,50723716,13.0,1,4.145116916201792,20,0,0
137883,22793973,36.5,1,10.325744977746703,8,4,0
8853,41836599,5.5,2,1.2844198136731177,19,1,0
125283,53695679,23.0,1,8.358724163142876,8,3,0
107357,25832537,8.5,2,3.1258646661377605,10,5,0
177640,12323160,7.7,1,2.4061269566819363,19,5,0
